Name;Brand;Price;Ram;CPU;GPU;Display;Storage
ASUS ROG Flow X13;ASUS;118999;16;0;0;49,86607143;4285,714286
AORUS 17X;Aorus;350900;32;4681,425152;0;90,27323839;1097,142857
HP 17;HP;115999;64;3279,528958;0;25,98752411;4285,714286
HP ZBook Firefly 14 G7;HP;497900;64;2809,54399;0;32,40413851;17142,85714
Lenovo IdeaPad Flex 5 16;Lenovo;87900;16;3979,729698;0;46,61684783;2142,857143
Lenovo IdeaPad 3i 15;Lenovo;77900;36;3279,528958;0;12,67922794;4285,714286
HP ENVY x360 15;HP;111900;20;3370,678745;0;28,75459559;2142,857143
HP ENVY x360 15;HP;139900;64;3664,115374;0;28,75459559;8571,428571
ASUS Vivobook 15;ASUS;39900;8;3626,688457;0;12,67922794;548,5714286
ASUS Vivobook 15;ASUS;47999;12;3626,688457;0;12,67922794;1097,142857
MSI GF65 Thin;MSI;109900;16;3300,890712;0;46,75459559;2142,857143
